resolution,aspect_ratio,orientation,scale,output_width,output_height,target_width,target_height,expected_node_label
4K,3:4,Landscape,1.9,2016,1520,3830,2888,OUTPUT 2016x1520; TARGET 3830x2888
4K,3:4,Landscape,2.0,1920,1440,3840,2880,OUTPUT 1920x1440; TARGET 3840x2880
4K,3:4,Portrait,1.0,2880,3840,2880,3840,OUTPUT 2880x3840; TARGET 2880x3840
4K,3:4,Portrait,1.1,2624,3488,2886,3837,OUTPUT 2624x3488; TARGET 2886x3837
4K,3:4,Portrait,1.2,2400,3200,2880,3840,OUTPUT 2400x3200; TARGET 2880x3840
4K,3:4,Portrait,1.3,2208,2960,2870,3848,OUTPUT 2208x2960; TARGET 2870x3848
4K,3:4,Portrait,1.4,2064,2736,2890,3830,OUTPUT 2064x2736; TARGET 2890x3830
4K,3:4,Portrait,1.5,1920,2560,2880,3840,OUTPUT 1920x2560; TARGET 2880x3840
4K,3:4,Portrait,1.6,1792,2400,2867,3840,OUTPUT 1792x2400; TARGET 2867x3840
4K,3:4,Portrait,1.7,1696,2256,2883,3835,OUTPUT 1696x2256; TARGET 2883x3835
4K,3:4,Portrait,1.8,1600,2128,2880,3830,OUTPUT 1600x2128; TARGET 2880x3830
4K,3:4,Portrait,1.9,1520,2016,2888,3830,OUTPUT 1520x2016; TARGET 2888x3830
4K,3:4,Portrait,2.0,1440,1920,2880,3840,OUTPUT 1440x1920; TARGET 2880x3840
4K,16:9,Landscape,1.0,3840,2160,3840,2160,OUTPUT 3840x2160; TARGET 3840x2160
4K,16:9,Landscape,1.1,3488,1968,3837,2165,OUTPUT 3488x1968; TARGET 3837x2165
4K,16:9,Landscape,1.2,3200,1792,3840,2150,OUTPUT 3200x1792; TARGET 3840x2150
4K,16:9,Landscape,1.3,2960,1664,3848,2163,OUTPUT 2960x1664; TARGET 3848x2163
4K,16:9,Landscape,1.4,2736,1536,3830,2150,OUTPUT 2736x1536; TARGET 3830x2150
4K,16:9,Landscape,1.5,2560,1440,3840,2160,OUTPUT 2560x1440; TARGET 3840x2160
4K,16:9,Landscape,1.6,2400,1344,3840,2150,OUTPUT 2400x1344; TARGET 3840x2150
4K,16:9,Landscape,1.7,2256,1264,3835,2149,OUTPUT 2256x1264; TARGET 3835x2149
4K,16:9,Landscape,1.8,2128,1200,3830,2160,OUTPUT 2128x1200; TARGET 3830x2160
4K,16:9,Landscape,1.9,2016,1136,3830,2158,OUTPUT 2016x1136; TARGET 3830x2158
4K,16:9,Landscape,2.0,1920,1088,3840,2176,OUTPUT 1920x1088; TARGET 3840x2176
4K,16:9,Portrait,1.0,2160,3840,2160,3840,OUTPUT 2160x3840; TARGET 2160x3840
4K,16:9,Portrait,1.1,1968,3488,2165,3837,OUTPUT 1968x3488; TARGET 2165x3837
4K,16:9,Portrait,1.2,1792,3200,2150,3840,OUTPUT 1792x3200; TARGET 2150x3840
4K,16:9,Portrait,1.3,1664,2960,2163,3848,OUTPUT 1664x2960; TARGET 2163x3848
4K,16:9,Portrait,1.4,1536,2736,2150,3830,OUTPUT 1536x2736; TARGET 2150x3830
4K,16:9,Portrait,1.5,1440,2560,2160,3840,OUTPUT 1440x2560; TARGET 2160x3840
4K,16:9,Portrait,1.6,1344,2400,2150,3840,OUTPUT 1344x2400; TARGET 2150x3840
4K,16:9,Portrait,1.7,1264,2256,2149,3835,OUTPUT 1264x2256; TARGET 2149x3835
4K,16:9,Portrait,1.8,1200,2128,2160,3830,OUTPUT 1200x2128; TARGET 2160x3830
4K,16:9,Portrait,1.9,1136,2016,2158,3830,OUTPUT 1136x2016; TARGET 2158x3830
4K,16:9,Portrait,2.0,1088,1920,2176,3840,OUTPUT 1088x1920; TARGET 2176x3840
4K,21:9,Landscape,1.0,5120,2160,5120,2160,OUTPUT 5120x2160; TARGET 5120x2160
4K,21:9,Landscape,1.1,4656,1968,5122,2165,OUTPUT 4656x1968; TARGET 5122x2165
4K,21:9,Landscape,1.2,4272,1792,5126,2150,OUTPUT 4272x1792; TARGET 5126x2150
4K,21:9,Landscape,1.3,3936,1664,5117,2163,OUTPUT 3936x1664; TARGET 5117x2163
4K,21:9,Landscape,1.4,3664,1536,5130,2150,OUTPUT 3664x1536; TARGET 5130x2150
4K,21:9,Landscape,1.5,3408,1440,5112,2160,OUTPUT 3408x1440; TARGET 5112x2160
4K,21:9,Landscape,1.6,3200,1344,5120,2150,OUTPUT 3200x1344; TARGET 5120x2150
4K,21:9,Landscape,1.7,3008,1264,5114,2149,OUTPUT 3008x1264; TARGET 5114x2149
4K,21:9,Landscape,1.8,2848,1200,5126,2160,OUTPUT 2848x1200; TARGET 5126x2160
4K,21:9,Landscape,1.9,2688,1136,5107,2158,OUTPUT 2688x1136; TARGET 5107x2158
4K,21:9,Landscape,2.0,2560,1088,5120,2176,OUTPUT 2560x1088; TARGET 5120x2176
4K,21:9,Portrait,1.0,2160,5120,2160,5120,OUTPUT 2160x5120; TARGET 2160x5120
4K,21:9,Portrait,1.1,1968,4656,2165,5122,OUTPUT 1968x4656; TARGET 2165x5122
4K,21:9,Portrait,1.2,1792,4272,2150,5126,OUTPUT 1792x4272; TARGET 2150x5126
4K,21:9,Portrait,1.3,1664,3936,2163,5117,OUTPUT 1664x3936; TARGET 2163x5117
4K,21:9,Portrait,1.4,1536,3664,2150,5130,OUTPUT 1536x3664; TARGET 2150x5130
4K,21:9,Portrait,1.5,1440,3408,2160,5112,OUTPUT 1440x3408; TARGET 2160x5112
4K,21:9,Portrait,1.6,1344,3200,2150,5120,OUTPUT 1344x3200; TARGET 2150x5120
4K,21:9,Portrait,1.7,1264,3008,2149,5114,OUTPUT 1264x3008; TARGET 2149x5114
4K,21:9,Portrait,1.8,1200,2848,2160,5126,OUTPUT 1200x2848; TARGET 2160x5126
4K,21:9,Portrait,1.9,1136,2688,2158,5107,OUTPUT 1136x2688; TARGET 2158x5107
4K,21:9,Portrait,2.0,1088,2560,2176,5120,OUTPUT 1088x2560; TARGET 2176x5120
